YEAR,age_group,Bachelor's,High school,pct_premium
2002,25-34,44325,27088,63.633343177790906
2007,25-34,43265,27041,59.99778114714693
2010,25-34,40656,24394,66.66393375420185
2015,25-34,40528,23230,74.4640551011623
2019,25-34,43419,26051,66.66922574949139
2022,25-34,44260,26556,66.66666666666667
2025,25-34,45184,27805,62.5031469160223
2002,35-44,55407,31397,76.47227442112303
2007,35-44,54081,32449,66.66461216062127
2010,35-44,50820,30492,66.66666666666667
2015,35-44,50844,27633,83.99739441971556
2019,35-44,53839,30393,77.14276313624848
2022,35-44,55526,32189,72.4999223337165
2025,35-44,54220,30586,77.27064670110508
2002,45-54,55407,33244,66.66766935386836
2007,45-54,55163,32449,69.99907547227957
2010,45-54,55902,30492,83.33333333333333
2015,45-54,55266,31317,76.47284222626689
2019,45-54,56445,32564,73.33558530893012
2022,45-54,58745,32191,82.48889441148147
2025,45-54,55611,33366,66.66966372954504
2002,55-64,49250,30781,60.00129950294013
2007,55-64,54081,31908,69.49040992854457
2010,55-64,50820,29476,72.41145338580539
2015,55-64,50660,30396,66.66666666666667
2019,55-64,53839,32998,63.1583732347415
2022,55-64,58745,32189,82.50023299885055
2025,55-64,55611,32845,69.31344192418938
