YEAR,sex_label,Bachelor's,High school,pct_premium
2002,Female,42478,24625,72.49949238578681
2007,Female,42183,23796,77.26928895612708
2010,Female,40656,23479,73.15899314280847
2015,Female,40989,23027,78.00408216441568
2019,Female,43419,24315,78.56878470080197
2022,Female,44260,24438,81.11138391030363
2025,Female,45184,24330,85.71311138512125
2002,Male,61563,36938,66.66576425361417
2007,Male,60571,36775,64.70700203942896
2010,Male,59968,34558,73.52856068059495
2015,Male,59871,33159,80.5573147561748
2019,Male,60787,34735,75.0021592054124
2022,Male,64257,35408,81.47593764121102
2025,Male,60824,34757,74.99784216129126
